REG_DATE,PM25,PM100,Temperature,Humidity,TVOC,CO2,weekday
2020-04-05 01:55:00,3.77,6.19,19.3,15.7,1.56,2.34,Sunday
2020-04-05 01:56:00,3.48,6.19,19.3,15.6,1.55,2.37,Sunday
2020-04-05 01:57:00,3.19,6.19,19.3,15.7,1.56,2.41,Sunday
2020-04-05 01:58:00,3.77,6.19,19.3,15.7,1.58,2.4,Sunday
2020-04-05 01:59:00,4.06,6.19,19.3,15.7,1.58,2.39,Sunday
2020-04-05 02:00:00,5.22,6.19,19.3,15.6,1.55,2.39,Sunday
2020-04-05 02:01:00,4.64,6.19,19.3,15.6,1.57,2.39,Sunday
2020-04-05 02:02:00,4.64,6.19,19.3,15.6,1.57,2.35,Sunday
2020-04-05 02:03:00,4.93,6.19,19.3,15.7,1.58,2.41,Sunday
2020-04-05 02:04:00,4.06,6.19,19.3,15.7,1.58,2.36,Sunday
2020-04-05 02:05:00,3.19,6.19,19.3,15.7,1.57,2.35,Sunday
2020-04-05 02:06:00,3.19,6.19,19.3,15.7,1.56,2.39,Sunday
2020-04-05 02:07:00,3.77,6.19,19.3,15.7,1.58,2.41,Sunday
2020-04-05 02:08:00,3.77,6.19,19.3,15.7,1.57,2.38,Sunday
2020-04-05 02:09:00,4.06,6.19,19.3,15.7,1.58,2.39,Sunday
2020-04-05 02:10:00,4.06,6.19,19.3,15.7,1.59,2.37,Sunday
2020-04-05 02:11:00,4.06,6.19,19.3,15.7,1.6,2.4,Sunday
2020-04-05 02:12:00,3.77,6.19,19.3,15.7,1.6,2.37,Sunday
2020-04-05 02:13:00,3.77,6.19,19.3,15.7,1.59,2.38,Sunday
2020-04-05 02:14:00,3.48,6.19,19.3,15.7,1.58,2.4,Sunday
2020-04-05 02:15:00,3.19,6.19,19.3,15.7,1.61,2.42,Sunday
2020-04-05 02:16:00,2.9,0.0,19.3,15.6,1.62,2.3,Sunday
2020-04-05 02:17:00,3.48,6.19,19.3,15.7,1.62,2.41,Sunday
2020-04-05 02:18:00,4.35,6.19,19.3,15.6,1.61,2.37,Sunday
2020-04-05 02:19:00,4.35,6.19,19.3,15.6,1.63,2.35,Sunday
2020-04-05 02:20:00,4.06,6.19,19.3,15.7,1.62,2.36,Sunday
